Participant Code:,W2MH0TPT0000,,,Participant Name,TATA Power Trading Company Ltd.,,,Date,16/09/2018
,Required Total Margin (Rs.),,,8977340.00,,,,,
,Deposit,Available (Rs),Utilised (Rs),Balance (Rs),,,,,
I,Initial Deposit,2500000.00,2500000.00,0.00,,,,,
II,Cash Margin ( Additional) Available,8333330.00,3238670.00,5094660.00,,,,,
III,Total Non Cash Margin Available,5000000.00,3238670.00,1761330.00,,,,,
IV,Cash Margin Surplus,,,5094660.00,,,,,
Portfoliowise Purchase Turnover for last 7 days (Sell Turnover not considered for margin),,,,,,,,,
SR. No,Portfolio,10/09/2018,11/09/2018,12/09/2018,13/09/2018,14/09/2018,15/09/2018,16/09/2018,Average TurnOver
1,Agni_Steels_Pvt_Ltd_EEDC_HTSC_50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Amara_Raja_Batteries_Ltd_TPT_145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Aurigene_Discovery_Technologies_Ltd_Bangalore,-22082.91,-23734.96,-16583.51,-17036.76,-5987.41,-13142.54,-1535.45,-14300.51
4,BST_Textile_Mills_Pvt_Ltd,-12151.97,-11891.52,-12354.17,-13087.84,-12743.59,-12536.78,-13743.23,-12644.16
5,Bannari_Amman_Spinning_Mills_HTSC_171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Bannari_Amman_Spinning_Mills_HTSC_279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Bannari_Amman_Spinning_Mills_Ltd_CBE_MEDC_HTSC_340,-8239.22,-4832.22,-5620.04,-1393.59,0.00,0.00,0.00,-2869.30
8,Bhubaneshwar_Power_Private_Limited_Odisha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Birla_Tyres,-59324.09,0.00,0.00,0.00,0.00,0.00,0.00,-8474.87
10,Britannia_Industries_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Burakia_Steel_and_Alloys,0.00,-61930.62,-39726.79,-7577.93,0.00,-18378.49,0.00,-18230.55
12,Dr_Reddy_Laboratories_Ltd_NLG_225,-62981.02,-50259.02,-59634.46,-28537.84,0.00,0.00,0.00,-28773.19
13,Dr_Reddys_Laboratories_Ltd_CTO3_(SGR_217),-34491.24,-41947.29,-52284.25,-18405.72,-4358.52,0.00,0.00,-21641.00
14,Dr_Reddys_Laboratories_Ltd_CTO_4_(MCL_295),-25844.71,-31497.68,-39071.95,-13811.67,-3584.46,0.00,0.00,-16258.64
15,Dr_Reddys_Laboratories_Ltd_FTO_III_(MCL_696),-121860.86,-93307.33,-92138.33,-44957.02,0.00,-50845.46,0.00,-57587.00
16,Dr_Reddys_Laboratories_Ltd_FTO_Unit_VII_(VSP_486),-65716.92,-79766.29,-98608.27,-35014.21,0.00,0.00,0.00,-39872.24
17,Dr_Reddys_Laboratories_Ltd_Unit_II_(SGR_127),-40671.79,-31315.19,-37085.61,-17328.59,0.00,0.00,0.00,-18057.31
18,Dr_Reddys_Laboratories_Ltd_Unit_I_(SGR_123),-75375.04,-57841.42,-68657.85,-31601.55,0.00,0.00,0.00,-33353.69
19,Dr_Reddys_Laboratories_Ltd_Unit_VI_SKL_091,-94811.97,-115859.60,-123907.15,-42594.17,-8971.58,0.00,0.00,-55163.50
20,Essar_Oil_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Exide_Industries_Ltd_Rewari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,GOHP_(13%_Free_Power_From_Sainj_HEP_HPPCL),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Ganesha_Ecosphere_Ltd,0.00,-10223.13,0.00,0.00,0.00,0.00,0.00,-1460.45
24,Gland_Pharma_Limited_(MCL_766),-113631.73,-140168.29,-139190.81,-70080.06,-24756.36,-86353.10,-5470.31,-82807.24
25,Gland_Pharma_Limited_(VSP_576),-40310.95,-49846.75,-58459.65,-23840.60,-9096.38,-36188.23,-2551.85,-31470.63
26,Gland_Pharma_Limited_SGR_1953,-81285.07,-98516.07,-117018.81,-49675.85,-17634.45,-67832.26,-4481.45,-62349.14
27,GoHP_(12%_Free_Power_From_Karcham_Wangtoo_Project),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,HPCL_VSP_VZA_Pipe_Line_VSP_308,-12865.15,0.00,-11221.71,0.00,0.00,-1850.70,0.00,-3705.37
29,Hindustan_Petroleum_Corporation_Limited_RJY_388,0.00,-3479.20,-21891.54,-3312.34,0.00,0.00,0.00,-4097.58
30,Hindustan_Petroleum_Corporation_Ltd_(Cons_No_900000021997),-5428716.88,-5301584.64,-5527600.86,0.00,0.00,0.00,0.00,-2322557.48
31,Huhtamaki_PPL_Limited_(formerly_The_Paper_Products_Limited_SGR_085),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,KPR_Mill_Ltd_Arasur_HTSC_275,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,KPR_Mill_Ltd_Arasur_HTSC_641,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,KPR_Mill_Ltd_Kodiveri_HTSC_81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,K_D_Cements,-46035.36,-62236.45,-41401.56,-22764.45,-8591.01,-34715.40,0.00,-30820.60
36,K_P_R_Mills_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,MGM_Minerals_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,MMG_Steels_(P)_Ltd_(SGR_459),0.00,0.00,-6502.98,0.00,0.00,0.00,0.00,-929.00
39,Magna_Electro_Castings_Ltd_CBE_SEDC_HTSC_585,-21994.87,-22787.45,0.00,0.00,0.00,0.00,0.00,-6397.47
40,Mantri_Mettallics_Pvt_Ltd_Pantnagar,-109914.95,-113702.47,-117470.06,-139150.60,-150925.53,-147911.80,-65129.63,-120600.72
41,Mat_Brakes_India_Pvt_Ltd_Sonepat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Mumbai _International_Airport_Pvt_Ltd_900000784496,-212712.36,-207781.78,-216547.02,0.00,0.00,0.00,0.00,-91005.88
43,Mumbai_International_Airport_Pvt_Ltd_900000038075,-157330.40,-153697.08,-137599.65,0.00,0.00,0.00,0.00,-64089.59
44,Mumbai_International_Airport_Pvt_Ltd_900000784502,-356705.46,-348402.01,-340607.16,0.00,0.00,0.00,0.00,-149387.80
45,Mumbai_International_Airport_Pvt_Ltd_900000784514,-212712.36,-207781.78,-216547.02,0.00,0.00,0.00,0.00,-91005.88
46,Mumbai_International_Airport_Pvt_Ltd_900000784521,-234865.15,-229415.67,-227825.21,0.00,0.00,0.00,0.00,-98872.29
47,Mumbai_International_Airport_Pvt_Ltd_900000787014,-212712.36,-207781.78,-216547.02,0.00,0.00,0.00,0.00,-91005.88
48,NACL_Industries_Ltd_SKL_099,-41305.11,-25578.38,-37435.64,-29139.78,0.00,-15138.91,0.00,-21228.26
49,Nav_Bharat_ventures_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Nava_Bharat_Energy_India_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Nava_Bharat_Ventures_Ltd_Paloncha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Netmagic_IT_Services_Pvt_Ltd_900000746247,0.00,-218598.73,0.00,0.00,0.00,0.00,0.00,-31228.39
53,Netmagic_IT_Services_Pvt_Ltd_900000746258,0.00,-207781.78,0.00,0.00,0.00,0.00,0.00,-29683.11
54,Netmagic_IT_Services_Pvt_Ltd_900000865337,0.00,-132063.20,0.00,0.00,0.00,0.00,0.00,-18866.17
55,Netmagic_IT_Services_Pvt_Ltd_900000900597,0.00,-207781.78,0.00,0.00,0.00,0.00,0.00,-29683.11
56,Netmagic_Solutions_Pvt_Ltd_900000041557,0.00,-132063.20,0.00,0.00,0.00,0.00,0.00,-18866.17
57,Netmagic_Solutions_Pvt_Ltd_900000068965,0.00,-121246.26,0.00,0.00,0.00,0.00,0.00,-17320.89
58,Netmagic_Solutions_Pvt_Ltd_900000080207,0.00,-142880.14,0.00,0.00,0.00,0.00,0.00,-20411.45
59,Rapid_Metro_Rail_Gurgaon_South_Ltd_Sector_53_Gurgaon,-69587.61,-80802.34,-64631.16,0.00,0.00,0.00,0.00,-30717.30
60,Rico_Auto_Industries_Ltd,0.00,-395793.11,-297604.82,-412519.69,0.00,0.00,0.00,-157988.23
61,SLS_Power_Corporation_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,SP_Spinning_Mills_Pvt_Ltd_SEDC_HTSC_74,0.00,-8346.77,0.00,0.00,0.00,0.00,0.00,-1192.40
63,Sainj_HEP_(100_MW),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sakku_Spinning_Mills_Ltd,-23424.33,-33555.40,-23842.46,-1692.41,0.00,0.00,0.00,-11787.80
65,Sathavahana_Ispat_Limited_(SIL),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Shamanur_Sugars_Limited_(SSL),-24041.81,-34595.14,-35421.90,-30498.19,-29098.89,-28367.80,-37833.49,-31408.17
67,Shiva_Mills_Limited_DEDC_HTSC_84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Shiva_Textyarn_Ltd_Karanampettai,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,Shri_hiranyakeshi_sahakari_Sakkare_Karkhane_Niyamit,-30363.57,-29584.81,-27214.92,-33704.18,-36457.49,-31991.84,-37331.70,-32378.36
70,Shriram_Foundary_Pvt_Ltd,-348154.62,-338750.98,-350349.96,-395915.16,-429084.95,-326189.20,-161188.54,-335661.92
71,Smartchem_Technologies_Ltd,-33642.37,0.00,-46381.40,-15561.41,0.00,-21818.91,0.00,-16772.01
72,Space_Textiles_(P)_Ltd_CBE_SEDC_HTSC_242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,Star_Metallics_and_Power_Private_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Tata_Motors_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Tata_Power_Haldia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Tata_Power_Solar_Systems_Limited_Unit_2_Electronic_City_Bangalore,-210320.41,-211429.58,-90622.92,-57751.29,-63336.24,-152794.86,0.00,-112322.19
77,Tata_Sponge_Iron_Ltd_Joda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Tata_Steel_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Tata_Steel_Limited_Ferro_Alloys_Plant_Joda,-35691.90,-35355.35,0.00,0.00,0.00,0.00,0.00,-10149.61
80,Tata_Steel_Ltd_Power_Distribution_Licensee,-5840104.23,-1645972.81,-6247808.90,-3112184.97,-3395094.05,-3303879.60,-6214647.16,-4251384.53
81,The_India_Cements_Ltd_CDP_048,-44340.81,0.00,-53396.56,-20339.34,0.00,-10719.99,0.00,-18399.53
82,Time_Technoplast_Ltd_Unit_I,-23293.01,-22773.11,-23697.01,-26577.44,-28844.20,-28113.11,-32831.54,-26589.92
83,Time_Technoplast_Ltd_Unit_II,-34434.07,-33654.71,-35039.87,-39359.59,-42757.97,-41662.03,-48737.11,-39377.91
84,Ugar_Sugar_Belgaum,-149220.56,-150240.35,-145612.23,-185031.85,-88601.89,-77713.62,-142454.86,-134125.05
,Total,-14773269.2,-11970435.62,-15521163.19,-4940446.09,-4359924.97,-4508144.63,-6767936.32,-8977331.44
Portfoliowise Obligation Report For Trading Date,,16/09/2018,,,,,,,
SR. No,Portfolio,Pay In / Pay Out,NLDC Application Charges,CTU Transmission Charges,NLDC Sch. &Opr. Charges,STU Transmission Charges,SLDC Sch. &Opr. Charges,Fees, IGST, SGST, CGST,UTGST, Final Obligation
1,Agni_Steels_Pvt_Ltd_EEDC_HTSC_50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Amara_Raja_Batteries_Ltd_TPT_145,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Aurigene_Discovery_Technologies_Ltd_Bangalore,-458.17,-20.41,-27.41,-0.10,-27.00,-1000.00,-2.00,-0.36,0.00,0.00,0.00,-1535.45
4,BST_Textile_Mills_Pvt_Ltd,-12038.98,-20.41,-417.48,-2.10,-214.70,-1000.00,-42.00,-7.56,0.00,0.00,0.00,-13743.23
5,Bannari_Amman_Spinning_Mills_HTSC_171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Bannari_Amman_Spinning_Mills_HTSC_279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Bannari_Amman_Spinning_Mills_Ltd_CBE_MEDC_HTSC_340,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Bhubaneshwar_Power_Private_Limited_Odisha,1007487.18,-20.41,-52215.30,-149.40,-9337.50,-2000.00,-2988.00,-537.84,0.00,0.00,0.00,940238.73
9,Britannia_Industries_Limited,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Burakia_Steel_and_Alloys,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Essar_Oil_Ltd,1527527.06,-20.41,-20773.68,-200.00,-89494.08,-1000.00,-4848.00,-872.64,0.00,0.00,0.00,1410318.25
12,Exide_Industries_Ltd_Rewari,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,GOHP_(13%_Free_Power_From_Sainj_HEP_HPPCL),1296890.47,-20.41,-31205.07,-193.70,0.00,0.00,-3874.00,-697.32,0.00,0.00,0.00,1260899.97
14,Ganesha_Ecosphere_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Gland_Pharma_Limited_(MCL_766),-4123.51,-20.41,-212.85,-0.90,-91.40,-1000.00,-18.00,-3.24,0.00,0.00,0.00,-5470.31
16,Gland_Pharma_Limited_(VSP_576),-1374.50,-20.41,-104.85,-0.30,-44.71,-1000.00,-6.00,-1.08,0.00,0.00,0.00,-2551.85
17,Gland_Pharma_Limited_SGR_1953,-3207.18,-20.41,-165.55,-0.70,-71.09,-1000.00,-14.00,-2.52,0.00,0.00,0.00,-4481.45
18,GoHP_(12%_Free_Power_From_Karcham_Wangtoo_Project),10449500.99,-20.41,-247836.24,-200.00,0.00,0.00,-30768.00,-5538.24,0.00,0.00,0.00,10165138.10
19,HPCL_VSP_VZA_Pipe_Line_VSP_308,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Hindustan_Petroleum_Corporation_Limited_RJY_388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Hindustan_Petroleum_Corporation_Ltd_(Cons_No_900000021997),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Huhtamaki_PPL_Limited_(formerly_The_Paper_Products_Limited_SGR_085),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,KPR_Mill_Ltd_Arasur_HTSC_275,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,KPR_Mill_Ltd_Arasur_HTSC_641,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,KPR_Mill_Ltd_Kodiveri_HTSC_81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,K_P_R_Mills_Ltd,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,MGM_Minerals_Ltd,483968.97,-20.41,-26841.60,-76.80,-4800.00,-2000.00,-1536.00,-276.48,0.00,0.00,0.00,448417.68
28,MMG_Steels_(P)_Ltd_(SGR_459),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Magna_Electro_Castings_Ltd_CBE_SEDC_HTSC_585,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Mantri_Mettallics_Pvt_Ltd_Pantnagar,-60462.05,-20.41,-2226.56,-11.20,-1145.09,-1000.00,-224.00,-40.32,0.00,0.00,0.00,-65129.63
31,Mumbai _International_Airport_Pvt_Ltd_900000784496,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Mumbai_International_Airport_Pvt_Ltd_900000038075,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Mumbai_International_Airport_Pvt_Ltd_900000784502,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Mumbai_International_Airport_Pvt_Ltd_900000784514,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Mumbai_International_Airport_Pvt_Ltd_900000784521,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
