Period,MCP-Price,MCP-Buy Quantity,MCP-Sell Quantity,A1-Price,A1-Buy Quantity,A1-Sell Quantity,A2-Price,A2-Buy Quantity,A2-Sell Quantity,E1-Price,E1-Buy Quantity,E1-Sell Quantity,E2-Price,E2-Buy Quantity,E2-Sell Quantity,N1-Price,N1-Buy Quantity,N1-Sell Quantity,N2-Price,N2-Buy Quantity,N2-Sell Quantity,N3-Price,N3-Buy Quantity,N3-Sell Quantity,S1-Price,S1-Buy Quantity,S1-Sell Quantity,S2-Price,S2-Buy Quantity,S2-Sell Quantity,S3-Price,S3-Buy Quantity,S3-Sell Quantity,W1-Price,W1-Buy Quantity,W1-Sell Quantity,W2-Price,W2-Buy Quantity,W2-Sell Quantity,W3-Price,W3-Buy Quantity,W3-Sell Quantity
00:00 - 00:15,7000.78,6774.80,6774.80,7000.78,0.00,30.00,7000.78,398.10,150.00,7000.78,2815.13,892.60,7000.78,507.00,392.90,7000.78,201.70,408.00,7000.78,5.40,580.80,7000.78,0.00,200.00,7000.78,9.90,1576.50,7000.78,0.00,82.20,7000.78,0.00,155.00,7000.78,33.80,829.50,7000.78,2716.70,905.80,7000.78,87.07,571.50
00:15 - 00:30,7000.74,6736.30,6736.30,7000.74,0.00,30.00,7000.74,393.10,150.00,7000.74,2795.75,892.60,7000.74,507.00,392.90,7000.74,201.70,408.00,7000.74,5.40,602.30,7000.74,0.00,200.00,7000.74,9.90,1576.50,7000.74,0.00,82.20,7000.74,0.00,155.00,7000.74,33.80,829.50,7000.74,2684.70,905.80,7000.74,104.95,511.50
00:30 - 00:45,7000.54,6793.10,6793.10,7000.54,0.00,38.00,7000.54,388.10,150.00,7000.54,2834.94,892.60,7000.54,507.00,392.90,7000.54,201.70,408.00,7000.54,5.40,638.10,7000.54,0.00,200.00,7000.54,9.90,1576.50,7000.54,0.00,82.20,7000.54,0.00,155.00,7000.54,33.80,829.50,7000.54,2649.70,918.80,7000.54,162.56,511.50
00:45 - 01:00,6599.51,6673.60,6673.60,6599.51,0.00,38.00,6599.51,383.10,150.00,6599.51,2554.00,893.60,6599.51,507.00,392.90,6599.51,201.70,408.00,6599.51,5.40,655.10,6599.51,0.00,200.00,6599.51,9.90,1576.50,6599.51,0.00,82.20,6599.51,0.00,125.00,6599.51,33.80,829.50,6599.51,2628.70,851.30,6599.51,350.00,471.50
01:00 - 01:15,7000.11,6539.40,6539.40,7000.11,0.00,39.00,7000.11,403.10,45.00,7000.11,2523.00,868.60,7000.11,507.00,442.90,7000.11,185.60,438.00,7000.11,5.80,680.10,7000.11,0.00,200.00,7000.11,9.90,1376.50,7000.11,0.00,82.20,7000.11,0.00,135.00,7000.11,33.80,829.50,7000.11,2604.70,971.10,7000.11,266.50,431.50
01:15 - 01:30,6599.57,6503.90,6503.90,6599.57,0.00,44.00,6599.57,383.10,45.00,6599.57,2492.00,869.60,6599.57,507.00,442.90,6599.57,185.60,438.00,6599.57,5.80,710.10,6599.57,0.00,200.00,6599.57,9.90,1376.50,6599.57,0.00,82.20,6599.57,0.00,125.00,6599.57,33.80,829.50,6599.57,2586.70,909.60,6599.57,300.00,431.50
01:30 - 01:45,5301.00,6515.40,6515.40,5301.00,0.00,44.00,5301.00,363.10,45.00,5301.00,2422.50,869.60,5301.00,507.00,442.90,5301.00,335.60,538.00,5301.00,115.80,784.10,5301.00,0.00,200.00,5301.00,9.90,1476.50,5301.00,1.00,82.20,5301.00,0.00,5.00,5301.00,33.80,779.50,5301.00,2426.70,817.10,5301.00,300.00,431.50
01:45 - 02:00,5300.45,6563.40,6563.40,5300.45,0.00,44.00,5300.45,343.10,45.00,5300.45,2712.50,869.60,5300.45,507.00,442.90,5300.45,435.60,538.00,5300.45,115.80,794.10,5300.45,0.00,200.00,5300.45,9.90,1476.50,5300.45,1.00,82.20,5300.45,0.00,5.00,5300.45,33.80,779.50,5300.45,2204.70,855.10,5300.45,200.00,431.50
02:00 - 02:15,5300.35,6386.50,6386.50,5300.35,0.00,49.00,5300.35,323.10,45.00,5300.35,2763.70,870.60,5300.35,507.00,443.90,5300.35,427.50,522.00,5300.35,135.80,988.10,5300.35,0.00,200.00,5300.35,9.90,1126.10,5300.35,1.00,82.20,5300.35,0.00,5.00,5300.35,33.80,772.00,5300.35,2024.70,851.10,5300.35,160.00,431.50
02:15 - 02:30,4841.87,6594.00,6594.00,4841.87,0.00,54.00,4841.87,308.10,45.00,4841.87,3133.00,873.50,4841.87,507.00,443.90,4841.87,443.70,572.00,4841.87,135.80,1123.10,4841.87,0.00,200.00,4841.87,9.90,1127.70,4841.87,39.00,82.20,4841.87,0.00,5.00,4841.87,33.80,772.00,4841.87,1823.70,864.10,4841.87,160.00,431.50
02:30 - 02:45,4841.25,6571.00,6571.00,4841.25,0.00,61.00,4841.25,293.10,45.00,4841.25,3035.00,875.10,4841.25,507.00,443.90,4841.25,443.70,572.00,4841.25,135.80,1241.10,4841.25,0.00,200.00,4841.25,9.90,955.10,4841.25,39.00,82.20,4841.25,0.00,5.00,4841.25,33.80,772.00,4841.25,1913.70,887.10,4841.25,160.00,431.50
02:45 - 03:00,4749.85,6583.00,6583.00,4749.85,0.00,71.00,4749.85,278.10,45.00,4749.85,3232.00,877.60,4749.85,507.00,422.50,4749.85,543.70,572.00,4749.85,135.80,1342.10,4749.85,0.00,200.00,4749.85,9.90,864.00,4749.85,39.00,82.20,4749.85,0.00,5.00,4749.85,33.80,772.00,4749.85,1713.70,898.10,4749.85,90.00,431.50
03:00 - 03:15,4250.73,6431.80,6431.80,4250.73,0.00,87.00,4250.73,263.10,45.00,4250.73,3173.00,904.10,4250.73,507.00,300.10,4250.73,543.70,567.90,4250.73,128.80,1333.10,4250.73,0.00,200.00,4250.73,13.20,859.20,4250.73,43.50,50.50,4250.73,0.00,5.00,4250.73,33.80,772.00,4250.73,1635.70,876.40,4250.73,90.00,431.50
03:15 - 03:30,4202.81,6443.60,6443.60,4202.81,0.00,87.00,4202.81,243.10,45.00,4202.81,3137.00,901.20,4202.81,507.00,300.10,4202.81,543.70,567.90,4202.81,128.80,1464.10,4202.81,0.00,200.00,4202.81,13.20,762.00,4202.81,43.50,50.50,4202.81,0.00,5.00,4202.81,33.80,772.00,4202.81,1703.50,857.30,4202.81,90.00,431.50
03:30 - 03:45,4157.11,6407.90,6407.90,4157.11,0.00,87.00,4157.11,218.10,45.00,4157.11,3065.00,924.00,4157.11,507.00,300.10,4157.11,543.70,567.90,4157.11,128.80,1398.60,4157.11,0.00,200.00,4157.11,14.30,762.00,4157.11,43.50,50.50,4157.11,0.00,5.00,4157.11,33.80,772.00,4157.11,1783.70,864.30,4157.11,70.00,431.50
03:45 - 04:00,4149.48,6454.46,6454.46,4149.48,0.00,87.00,4149.48,198.10,45.00,4149.48,3045.00,930.80,4149.48,507.00,300.10,4149.48,642.10,567.90,4149.48,128.80,1463.00,4149.48,0.00,200.00,4149.48,14.46,762.00,4149.48,43.50,50.50,4149.48,0.00,5.00,4149.48,33.80,772.00,4149.48,1771.70,839.66,4149.48,70.00,431.50
04:00 - 04:15,4087.83,6441.20,6441.20,4087.83,0.00,82.00,4087.83,183.10,45.00,4087.83,2980.00,925.60,4087.83,507.00,300.10,4087.83,601.70,176.40,4087.83,113.80,1842.00,4087.83,0.00,200.00,4087.83,12.60,762.00,4087.83,43.50,78.30,4087.83,0.00,75.00,4087.83,33.80,772.00,4087.83,1905.70,751.30,4087.83,60.00,431.50
04:15 - 04:30,4148.66,6383.20,6383.20,4148.66,0.00,87.00,4148.66,158.10,45.00,4148.66,2961.00,935.60,4148.66,507.00,300.10,4148.66,601.70,176.40,4148.66,113.80,1727.00,4148.66,0.00,200.00,4148.66,12.60,762.00,4148.66,43.50,78.30,4148.66,0.00,75.00,4148.66,33.80,772.00,4148.66,1891.70,793.30,4148.66,60.00,431.50
04:30 - 04:45,4841.20,6724.20,6724.20,4841.20,0.00,90.00,4841.20,138.10,45.00,4841.20,2938.00,939.60,4841.20,507.00,443.90,4841.20,609.80,176.40,4841.20,113.80,1845.10,4841.20,0.00,200.00,4841.20,10.00,681.30,4841.20,39.00,78.30,4841.20,0.00,75.00,4841.20,33.80,772.00,4841.20,2274.70,946.10,4841.20,60.00,431.50
04:45 - 05:00,4841.61,6858.60,6858.60,4841.61,0.00,95.00,4841.61,113.10,45.00,4841.61,2851.00,949.60,4841.61,507.00,443.90,4841.61,658.20,176.40,4841.61,113.80,1815.10,4841.61,0.00,200.00,4841.61,10.00,828.70,4841.61,39.00,78.30,4841.61,0.00,75.00,4841.61,33.80,772.00,4841.61,2472.70,948.10,4841.61,60.00,431.50
05:00 - 05:15,5200.91,6974.60,6974.60,5200.91,0.00,89.00,5200.91,93.10,45.00,5200.91,2201.30,1054.60,5200.91,507.00,442.90,5200.91,722.80,201.40,5200.91,177.80,1716.10,5200.91,0.00,200.00,5200.91,10.10,915.60,5200.91,1.00,82.20,5200.91,0.00,75.00,5200.91,33.80,772.00,5200.91,3147.70,949.30,5200.91,80.00,431.50
05:15 - 05:30,5500.02,7076.60,7076.60,5500.02,0.00,91.00,5500.02,73.10,45.00,5500.02,2085.00,1066.60,5500.02,507.00,442.90,5500.02,658.10,571.40,5500.02,177.80,1449.10,5500.02,0.00,200.00,5500.02,10.10,915.60,5500.02,0.00,82.20,5500.02,0.00,75.00,5500.02,33.80,772.00,5500.02,3351.70,934.30,5500.02,180.00,431.50
05:30 - 05:45,5000.68,7409.60,7409.60,5000.68,0.00,92.00,5000.68,58.10,45.00,5000.68,1923.00,1067.60,5000.68,507.00,442.90,5000.68,603.50,1001.40,5000.68,177.80,1379.10,5000.68,0.00,200.00,5000.68,10.10,915.60,5000.68,13.60,82.20,5000.68,0.00,75.00,5000.68,33.80,772.00,5000.68,3832.70,905.30,5000.68,250.00,431.50
05:45 - 06:00,5000.09,7278.60,7278.60,5000.09,0.00,95.00,5000.09,38.10,45.00,5000.09,1470.00,1070.60,5000.09,507.00,442.90,5000.09,516.50,1001.40,5000.09,177.80,1263.10,5000.09,0.00,200.00,5000.09,10.10,915.60,5000.09,36.60,82.20,5000.09,0.00,75.00,5000.09,33.80,772.00,5000.09,4238.70,884.30,5000.09,250.00,431.50
06:00 - 06:15,5000.45,7564.80,7564.80,5000.45,0.00,92.00,5000.45,8.10,45.00,5000.45,1342.00,1084.60,5000.45,455.00,451.50,5000.45,484.20,1339.10,5000.45,5.80,1092.10,5000.45,0.00,200.00,5000.45,51.01,1032.00,5000.45,444.19,82.30,5000.45,0.00,5.00,5000.45,33.80,874.20,5000.45,4540.70,831.60,5000.45,200.00,435.40
06:15 - 06:30,5102.57,7427.10,7427.10,5102.57,0.00,88.00,5102.57,33.10,45.00,5102.57,1164.00,1065.60,5102.57,455.00,451.50,5102.57,500.30,1339.10,5102.57,5.80,1080.10,5102.57,0.00,200.00,5102.57,36.10,937.30,5102.57,417.30,82.30,5102.57,0.00,5.00,5102.57,33.80,874.20,5102.57,4581.70,823.60,5102.57,200.00,435.40
06:30 - 06:45,6599.46,7782.10,7782.10,6599.46,0.00,91.00,6599.46,8.10,45.00,6599.46,1026.00,1050.60,6599.46,455.00,451.50,6599.46,516.50,1339.10,6599.46,5.80,1078.30,6599.46,0.00,200.00,6599.46,10.20,1094.10,6599.46,600.00,82.30,6599.46,0.00,95.00,6599.46,33.80,924.20,6599.46,4926.70,895.60,6599.46,200.00,435.40
06:45 - 07:00,6989.32,7887.20,7887.20,6989.32,0.00,95.00,6989.32,23.10,45.00,6989.32,882.00,1033.60,6989.32,455.00,451.50,6989.32,532.60,1339.10,6989.32,5.80,1092.70,6989.32,0.00,200.00,6989.32,10.20,1094.10,6989.32,600.00,82.30,6989.32,0.00,98.20,6989.32,33.80,924.30,6989.32,5144.70,996.00,6989.32,200.00,435.40
